ticket_id,timestamp,date,week,month,vertical,contact_reason,channel,market,resolution,handle_time_min,csat_score,first_contact_resolution,repeat_contact
CRM-002282,2025-01-05 11:30:34,2025-01-05,1,2025-01,Quik,Missing items,In-App Chat,Pakistan,Resolved - Refund,3.2,2,1,0
CRM-001300,2025-01-05 11:35:51,2025-01-05,1,2025-01,Quik,Missing items,Email,Jordan,Escalated,19.4,4,0,0
CRM-000414,2025-01-05 11:52:01,2025-01-05,1,2025-01,Food,Restaurant closed,In-App Chat,KSA,Pending - Follow-up,3.7,2,0,0
CRM-004508,2025-01-05 11:53:38,2025-01-05,1,2025-01,Quik,Damaged packaging,Social Media,Pakistan,Resolved - Explanation,16.2,4,1,0
CRM-000938,2025-01-05 12:42:42,2025-01-05,1,2025-01,Food,Restaurant closed,Email,UAE,Resolved - Coupon,15.6,1,1,0
CRM-003162,2025-01-05 13:55:47,2025-01-05,1,2025-01,Ride,App crash during ride,In-App Chat,UAE,Escalated,8.9,3,0,1
CRM-003759,2025-01-05 13:57:08,2025-01-05,1,2025-01,Quik,Late delivery,Phone,Pakistan,Resolved - Explanation,8.1,2,1,0
CRM-003520,2025-01-05 14:10:24,2025-01-05,1,2025-01,Quik,Substituted item not accepted,Email,Pakistan,Auto-resolved,1.5,2,1,0
CRM-001950,2025-01-05 14:19:50,2025-01-05,1,2025-01,Food,Cold food,In-App Chat,UAE,Resolved - Refund,3.0,3,1,0
CRM-001294,2025-01-05 15:49:39,2025-01-05,1,2025-01,Quik,Late delivery,Social Media,Pakistan,Auto-resolved,1.2,4,1,0
CRM-001686,2025-01-05 16:04:40,2025-01-05,1,2025-01,Ride,Wrong fare charged,In-App Chat,UAE,Pending - Follow-up,5.0,3,0,0
CRM-000306,2025-01-05 16:29:21,2025-01-05,1,2025-01,Ride,App crash during ride,In-App Chat,KSA,Escalated,16.1,5,0,0
CRM-003364,2025-01-05 16:49:56,2025-01-05,1,2025-01,Food,Order never arrived,Phone,Jordan,Auto-resolved,1.2,3,1,0
CRM-003506,2025-01-05 18:01:26,2025-01-05,1,2025-01,Food,Missing items,Email,KSA,Resolved - Explanation,10.7,2,1,0
CRM-001224,2025-01-05 18:34:12,2025-01-05,1,2025-01,Pay,Bill payment error,Email,Jordan,Auto-resolved,0.2,2,1,0
CRM-001802,2025-01-05 18:45:03,2025-01-05,1,2025-01,Food,Cold food,Social Media,KSA,Resolved - Refund,16.9,4,1,0
CRM-001097,2025-01-05 18:54:50,2025-01-05,1,2025-01,Food,Missing items,Social Media,KSA,Auto-resolved,1.0,4,1,0
CRM-004143,2025-01-05 19:20:23,2025-01-05,1,2025-01,Ride,Route deviation,In-App Chat,KSA,Resolved - Coupon,4.2,5,1,0
CRM-003650,2025-01-05 20:34:03,2025-01-05,1,2025-01,Food,Wrong items delivered,In-App Chat,Pakistan,Resolved - Refund,6.4,5,1,1
CRM-003987,2025-01-05 23:45:49,2025-01-05,1,2025-01,Ride,Safety concern,In-App Chat,UAE,Auto-resolved,1.4,5,1,0
CRM-004735,2025-01-06 01:22:23,2025-01-06,2,2025-01,Ride,Driver no-show,In-App Chat,UAE,Resolved - Refund,5.3,2,1,0
CRM-004605,2025-01-06 01:45:32,2025-01-06,2,2025-01,Ride,Wrong fare charged,In-App Chat,UAE,Resolved - Coupon,4.3,5,1,0
CRM-004709,2025-01-06 05:01:33,2025-01-06,2,2025-01,Food,Refund not processed,In-App Chat,Pakistan,Resolved - Refund,2.8,5,1,0
CRM-001602,2025-01-06 06:32:12,2025-01-06,2,2025-01,Food,Refund not processed,In-App Chat,Pakistan,Resolved - Explanation,5.4,4,1,0
CRM-001995,2025-01-06 06:47:23,2025-01-06,2,2025-01,Ride,Cancellation fee dispute,In-App Chat,KSA,Resolved - Explanation,5.8,4,1,0
CRM-000809,2025-01-06 08:00:57,2025-01-06,2,2025-01,Food,Refund not processed,Social Media,UAE,Resolved - Explanation,9.8,5,1,0
CRM-004451,2025-01-06 08:53:17,2025-01-06,2,2025-01,Pay,Cashback not credited,In-App Chat,UAE,Escalated,6.6,4,0,0
CRM-003753,2025-01-06 09:02:06,2025-01-06,2,2025-01,Food,Late delivery,Email,UAE,Resolved - Coupon,11.3,5,1,0
CRM-003054,2025-01-06 09:13:04,2025-01-06,2,2025-01,Food,Restaurant closed,Phone,UAE,Resolved - Coupon,6.6,4,1,0
CRM-000914,2025-01-06 09:17:47,2025-01-06,2,2025-01,Quik,Damaged packaging,In-App Chat,KSA,Resolved - Refund,3.8,3,1,0
CRM-002649,2025-01-06 09:21:01,2025-01-06,2,2025-01,Food,Overcharged,In-App Chat,Jordan,Resolved - Coupon,3.7,5,1,0
CRM-000279,2025-01-06 10:45:41,2025-01-06,2,2025-01,Pay,Cashback not credited,In-App Chat,Egypt,Resolved - Coupon,2.4,3,1,0
CRM-002044,2025-01-06 11:21:16,2025-01-06,2,2025-01,Pay,Failed top-up,Social Media,Egypt,Escalated,21.9,5,0,0
CRM-002865,2025-01-06 11:31:20,2025-01-06,2,2025-01,Pay,Failed top-up,Social Media,Jordan,Resolved - Coupon,10.8,3,1,0
CRM-001274,2025-01-06 12:02:52,2025-01-06,2,2025-01,Ride,App crash during ride,Email,UAE,Escalated,23.3,5,0,0
CRM-002972,2025-01-06 12:33:11,2025-01-06,2,2025-01,Food,Missing items,In-App Chat,Jordan,Auto-resolved,0.8,4,1,0
CRM-003127,2025-01-06 12:57:13,2025-01-06,2,2025-01,Food,Cold food,Social Media,Jordan,Resolved - Coupon,11.9,3,1,0
CRM-002490,2025-01-06 13:20:37,2025-01-06,2,2025-01,Food,Wrong items delivered,In-App Chat,Pakistan,Pending - Follow-up,4.1,5,0,0
CRM-004035,2025-01-06 13:21:33,2025-01-06,2,2025-01,Quik,Missing items,In-App Chat,Pakistan,Escalated,11.2,4,0,0
CRM-004751,2025-01-06 13:30:16,2025-01-06,2,2025-01,Ride,App crash during ride,In-App Chat,UAE,Auto-resolved,0.7,4,1,0
CRM-002376,2025-01-06 14:31:29,2025-01-06,2,2025-01,Ride,Safety concern,In-App Chat,UAE,Resolved - Refund,5.4,3,1,0
CRM-000042,2025-01-06 14:38:57,2025-01-06,2,2025-01,Pay,Bill payment error,In-App Chat,UAE,Escalated,19.4,4,0,0
CRM-003332,2025-01-06 14:41:57,2025-01-06,2,2025-01,Ride,App crash during ride,Email,KSA,Resolved - Refund,17.4,4,1,0
CRM-004648,2025-01-06 16:44:08,2025-01-06,2,2025-01,Pay,Wallet balance mismatch,Phone,KSA,Resolved - Refund,11.6,2,1,0
CRM-001830,2025-01-06 16:45:38,2025-01-06,2,2025-01,Quik,Damaged packaging,Phone,UAE,Resolved - Coupon,7.0,5,1,0
CRM-003032,2025-01-06 17:11:24,2025-01-06,2,2025-01,Food,Missing items,In-App Chat,UAE,Resolved - Coupon,5.4,5,1,0
CRM-000791,2025-01-06 19:28:55,2025-01-06,2,2025-01,Pay,Cashback not credited,In-App Chat,UAE,Auto-resolved,0.3,3,1,1
CRM-000506,2025-01-06 19:33:41,2025-01-06,2,2025-01,Ride,Route deviation,Phone,KSA,Resolved - Refund,5.8,1,1,0
CRM-000587,2025-01-07 02:10:57,2025-01-07,2,2025-01,Ride,Route deviation,Phone,KSA,Escalated,12.0,4,0,0
CRM-000887,2025-01-07 05:59:09,2025-01-07,2,2025-01,Food,Restaurant closed,In-App Chat,KSA,Resolved - Explanation,7.1,4,1,0
CRM-001078,2025-01-07 06:33:34,2025-01-07,2,2025-01,Pay,Failed top-up,Email,Pakistan,Resolved - Refund,18.8,3,1,1
CRM-000426,2025-01-07 07:45:28,2025-01-07,2,2025-01,Ride,Safety concern,Email,UAE,Resolved - Coupon,21.8,3,1,0
CRM-001791,2025-01-07 08:17:14,2025-01-07,2,2025-01,Pay,Bill payment error,In-App Chat,Pakistan,Resolved - Explanation,2.4,3,1,0
CRM-003193,2025-01-07 08:18:24,2025-01-07,2,2025-01,Quik,Substituted item not accepted,Social Media,Pakistan,Resolved - Coupon,7.8,3,1,0
CRM-000044,2025-01-07 09:20:21,2025-01-07,2,2025-01,Pay,Bill payment error,Phone,UAE,Resolved - Refund,8.1,2,1,0
CRM-002136,2025-01-07 09:24:45,2025-01-07,2,2025-01,Food,Restaurant closed,In-App Chat,Pakistan,Resolved - Coupon,7.2,1,1,0
CRM-001900,2025-01-07 09:49:09,2025-01-07,2,2025-01,Food,Refund not processed,In-App Chat,KSA,Escalated,15.8,1,0,0
CRM-004824,2025-01-07 09:53:13,2025-01-07,2,2025-01,Pay,Failed top-up,In-App Chat,KSA,Escalated,7.2,5,0,0
CRM-002494,2025-01-07 10:02:10,2025-01-07,2,2025-01,Quik,Damaged packaging,In-App Chat,Pakistan,Resolved - Refund,3.5,2,1,0
CRM-003774,2025-01-07 10:06:52,2025-01-07,2,2025-01,Ride,Wrong fare charged,Email,UAE,Resolved - Refund,24.6,4,1,0
CRM-003013,2025-01-07 10:30:53,2025-01-07,2,2025-01,Pay,Unauthorized transaction,Phone,Pakistan,Escalated,20.3,5,0,0
CRM-004695,2025-01-07 10:59:46,2025-01-07,2,2025-01,Ride,Safety concern,In-App Chat,Pakistan,Resolved - Explanation,3.7,1,1,0
CRM-004771,2025-01-07 12:56:18,2025-01-07,2,2025-01,Food,Wrong items delivered,In-App Chat,KSA,Resolved - Explanation,6.1,4,1,0
CRM-002459,2025-01-07 12:58:56,2025-01-07,2,2025-01,Ride,Lost item,Email,KSA,Resolved - Explanation,13.4,4,1,0
CRM-001691,2025-01-07 13:09:16,2025-01-07,2,2025-01,Ride,Wrong fare charged,In-App Chat,UAE,Resolved - Coupon,5.4,3,1,0
CRM-002662,2025-01-07 13:44:02,2025-01-07,2,2025-01,Ride,Cancellation fee dispute,In-App Chat,Pakistan,Resolved - Refund,3.8,3,1,0
CRM-002060,2025-01-07 14:36:04,2025-01-07,2,2025-01,Food,Wrong items delivered,Social Media,Egypt,Escalated,28.9,3,0,0
